geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone
264888,en,EU,Europe,GR,Greece,I,Attica,,,"Ano Liosia",,Europe/Athens
265100,en,EU,Europe,GR,Greece,I,Attica,,,Anavyssos,,Europe/Athens
265243,en,EU,Europe,GR,Greece,I,Attica,,,Marousi,,Europe/Athens
265252,en,EU,Europe,GR,Greece,G,"West Greece",14,"Ilia Prefecture",Amaliada,,Europe/Athens
265342,en,EU,Europe,GR,Greece,H,"Central Greece",03,"Nomos Voiotias",Aliartos,,Europe/Athens
265488,en,EU,Europe,GR,Greece,I,Attica,,,Acharnes,,Europe/Athens
265500,en,EU,Europe,GR,Greece,G,"West Greece",13,Achaea,Aigio,,Europe/Athens
265502,en,EU,Europe,GR,Greece,I,Attica,,,Aegina,,Europe/Athens
265533,en,EU,Europe,GR,Greece,I,Attica,,,Aigaleo,,Europe/Athens
265560,en,EU,Europe,GR,Greece,G,"West Greece",01,Aitoloakarnania,Agrinio,,Europe/Athens
265601,en,EU,Europe,GR,Greece,E,Thessaly,43,Magnesia,Agria,,Europe/Athens
266045,en,AS,Asia,LB,Lebanon,BI,"Mohafazat Beqaa",,,Zahle,,Asia/Beirut
266826,en,AS,Asia,LB,Lebanon,AS,"Mohafazat Liban-Nord",,,Tripoli,,Asia/Beirut
267008,en,AS,Asia,LB,Lebanon,JA,"South Governorate",,,Tyre,,Asia/Beirut
267926,en,AS,Asia,LB,Lebanon,AK,"Mohafazat Aakkar",,,Chadra,,Asia/Beirut
268064,en,AS,Asia,LB,Lebanon,JA,"South Governorate",,,Sidon,,Asia/Beirut
270220,en,AS,Asia,LB,Lebanon,JL,"Mohafazat Mont-Liban",,,Mkalles,,Asia/Beirut
272103,en,AS,Asia,LB,Lebanon,,,,,,,Asia/Beirut
273140,en,AS,Asia,LB,Lebanon,JL,"Mohafazat Mont-Liban",,,Jounieh,,Asia/Beirut
274109,en,AS,Asia,LB,Lebanon,JL,"Mohafazat Mont-Liban",,,"Hai ech Chami",,Asia/Beirut
274723,en,AS,Asia,LB,Lebanon,AK,"Mohafazat Aakkar",,,Halba,,Asia/Beirut
274890,en,AS,Asia,LB,Lebanon,JL,"Mohafazat Mont-Liban",,,Ghosta,,Asia/Beirut
274939,en,AS,Asia,LB,Lebanon,JL,"Mohafazat Mont-Liban",,,Ghazir,,Asia/Beirut
275115,en,AS,Asia,LB,Lebanon,JL,"Mohafazat Mont-Liban",,,Ghadir,,Asia/Beirut
275268,en,AS,Asia,LB,Lebanon,JL,"Mohafazat Mont-Liban",,,Fatqa,,Asia/Beirut
275761,en,AS,Asia,LB,Lebanon,JL,"Mohafazat Mont-Liban",,,Daraaoun,,Asia/Beirut
276377,en,AS,Asia,LB,Lebanon,JL,"Mohafazat Mont-Liban",,,Broummana,,Asia/Beirut
276533,en,AS,Asia,LB,Lebanon,JL,"Mohafazat Mont-Liban",,,"Bir Hassan",,Asia/Beirut
276692,en,AS,Asia,LB,Lebanon,JL,"Mohafazat Mont-Liban",,,"Beit Chabab",,Asia/Beirut
276781,en,AS,Asia,LB,Lebanon,BA,Beyrouth,,,Beirut,,Asia/Beirut
276951,en,AS,Asia,LB,Lebanon,AS,"Mohafazat Liban-Nord",,,Barsa,,Asia/Beirut
277130,en,AS,Asia,LB,Lebanon,BH,"Mohafazat Baalbek-Hermel",,,Baalbek,,Asia/Beirut
277224,en,AS,Asia,LB,Lebanon,JL,"Mohafazat Mont-Liban",,,Baabdat,,Asia/Beirut
277226,en,AS,Asia,LB,Lebanon,JL,"Mohafazat Mont-Liban",,,Baabda,,Asia/Beirut
278792,en,AS,Asia,LB,Lebanon,JL,"Mohafazat Mont-Liban",,,Antelias,,Asia/Beirut
279997,en,AS,Asia,LB,Lebanon,BH,"Mohafazat Baalbek-Hermel",,,"El Hermel",,Asia/Beirut
280226,en,AS,Asia,LB,Lebanon,JL,"Mohafazat Mont-Liban",,,"El Bouar",,Asia/Beirut
280322,en,AS,Asia,LB,Lebanon,JL,"Mohafazat Mont-Liban",,,"El Baouchriye",,Asia/Beirut
280425,en,AS,Asia,LB,Lebanon,JL,"Mohafazat Mont-Liban",,,Aaley,,Asia/Beirut
280446,en,AS,Asia,LB,Lebanon,BA,Beyrouth,,,"El Achrafiye",,Asia/Beirut
280686,en,AS,Asia,LB,Lebanon,JL,"Mohafazat Mont-Liban",,,Adonis,,Asia/Beirut
280733,en,AS,Asia,LB,Lebanon,JL,"Mohafazat Mont-Liban",,,Dbaiye,,Asia/Beirut
280789,en,AS,Asia,LB,Lebanon,JL,"Mohafazat Mont-Liban",,,"Ed Damour",,Asia/Beirut
281133,en,AS,Asia,PS,Palestine,,,,,Gaza,,Asia/Gaza
281184,en,AS,Asia,IL,Israel,JM,Jerusalem,,,Jerusalem,,Asia/Jerusalem
281577,en,AS,Asia,PS,Palestine,,,,,Tulkarm,,Asia/Hebron
282039,en,AS,Asia,PS,Palestine,,,,,Salfit,,Asia/Hebron
282163,en,AS,Asia,IL,Israel,,,,,"Kiryat Netafim",,Asia/Jerusalem
282239,en,AS,Asia,PS,Palestine,,,,,Ramallah,,Asia/Hebron
282582,en,AS,Asia,IL,Israel,JM,Jerusalem,,,"Har Adar",,Asia/Jerusalem
282615,en,AS,Asia,PS,Palestine,,,,,Nablus,,Asia/Hebron
283506,en,AS,Asia,PS,Palestine,,,,,Jenin,,Asia/Hebron
284271,en,AS,Asia,PS,Palestine,,,,,Bidya,,Asia/Hebron
284315,en,AS,Asia,PS,Palestine,,,,,Bethlehem,,Asia/Hebron
284899,en,AS,Asia,PS,Palestine,,,,,Jericho,,Asia/Hebron
285066,en,AS,Asia,PS,Palestine,,,,,Hebron,,Asia/Hebron
285570,en,AS,Asia,KW,Kuwait,,,,,,,Asia/Kuwait
285590,en,AS,Asia,KW,Kuwait,KU,"Al Asimah",,,Kayfan,,Asia/Kuwait
285603,en,AS,Asia,KW,Kuwait,FA,"Al Farwaniyah",,,"Janub as Surrah",,Asia/Kuwait
285604,en,AS,Asia,KW,Kuwait,,,,,"Jalib ash Shuyukh",,Asia/Kuwait
285629,en,AS,Asia,KW,Kuwait,HA,Hawalli,,,Hawalli,,Asia/Kuwait
285663,en,AS,Asia,KW,Kuwait,HA,Hawalli,,,Bayan,,Asia/Kuwait
285704,en,AS,Asia,KW,Kuwait,HA,Hawalli,,,"As Salimiyah",,Asia/Kuwait
285713,en,AS,Asia,KW,Kuwait,KU,"Al Asimah",,,"Ash Shuwaykh",,Asia/Kuwait
285716,en,AS,Asia,KW,Kuwait,AH,"Al Aḩmadī",,,"Ash Shu`aybah",,Asia/Kuwait
285726,en,AS,Asia,KW,Kuwait,HA,Hawalli,,,"Ar Rumaythiyah",,Asia/Kuwait
285734,en,AS,Asia,KW,Kuwait,KU,"Al Asimah",,,"Ar Rawdah",,Asia/Kuwait
285787,en,AS,Asia,KW,Kuwait,KU,"Al Asimah",,,"Kuwait City",,Asia/Kuwait
285799,en,AS,Asia,KW,Kuwait,JA,"Muhafazat al Jahra'",,,"Al Jahra",,Asia/Kuwait
285810,en,AS,Asia,KW,Kuwait,MU,"Mubārak al Kabīr",,,"Al Funaytis",,Asia/Kuwait
285812,en,AS,Asia,KW,Kuwait,AH,"Al Aḩmadī",,,"Al Fintas",,Asia/Kuwait
285815,en,AS,Asia,KW,Kuwait,FA,"Al Farwaniyah",,,"Al Farwaniyah",,Asia/Kuwait
285839,en,AS,Asia,KW,Kuwait,AH,"Al Aḩmadī",,,"Al Ahmadi",,Asia/Kuwait
285855,en,AS,Asia,KW,Kuwait,,,,,"Ad Dawhah",,Asia/Kuwait
285856,en,AS,Asia,KW,Kuwait,KU,"Al Asimah",,,"Ad Dasmah",,Asia/Kuwait
285866,en,AS,Asia,KW,Kuwait,FA,"Al Farwaniyah",,,"Abraq Khaytan",,Asia/Kuwait
286282,en,AS,Asia,OM,Oman,BS,"Al Batinah North Governorate",,,Sohar,,Asia/Muscat
286621,en,AS,Asia,OM,Oman,ZU,Dhofar,,,Salalah,,Asia/Muscat
286696,en,AS,Asia,OM,Oman,MA,Muscat,,,Ruwi,,Asia/Muscat
286963,en,AS,Asia,OM,Oman,,,,,,,Asia/Muscat
286987,en,AS,Asia,OM,Oman,DA,"Ad Dakhiliyah",,,Nizwa,,Asia/Muscat
287275,en,AS,Asia,OM,Oman,MA,Muscat,,,Mutrah,,Asia/Muscat
287286,en,AS,Asia,OM,Oman,MA,Muscat,,,Muscat,,Asia/Muscat
288967,en,AS,Asia,OM,Oman,MA,Muscat,,,Seeb,,Asia/Muscat
289189,en,AS,Asia,OM,Oman,MA,Muscat,,,"Al Khawd",,Asia/Muscat
289523,en,AS,Asia,QA,Qatar,US,"Baladiyat Umm Salal",,,"Umm Salal Muhammad",,Asia/Qatar
289688,en,AS,Asia,QA,Qatar,,,,,,,Asia/Qatar
289739,en,AS,Asia,QA,Qatar,MS,"Baladiyat ash Shamal",,,"Madinat ash Shamal",,Asia/Qatar
289847,en,AS,Asia,QA,Qatar,ZA,"Baladiyat az Za'ayin",,,"Az Za`ayin",,Asia/Qatar
289888,en,AS,Asia,QA,Qatar,RA,"Baladiyat ar Rayyan",,,"Ar Rayyan",,Asia/Qatar
289915,en,AS,Asia,QA,Qatar,WA,"Al Wakrah",,,"Al Wakrah",,Asia/Qatar
289962,en,AS,Asia,QA,Qatar,KH,"Baladiyat al Khawr wa adh Dhakhirah",,,"Al Khor",,Asia/Qatar
290030,en,AS,Asia,QA,Qatar,DA,"Baladiyat ad Dawhah",,,Doha,,Asia/Qatar
290087,en,AS,Asia,BH,Bahrain,13,Manama,,,"Umm al Hassam",,Asia/Bahrain
290091,en,AS,Asia,BH,Bahrain,13,Manama,,,Tubli,,Asia/Bahrain
290104,en,AS,Asia,BH,Bahrain,13,Manama,,,Sitrah,,Asia/Bahrain
290118,en,AS,Asia,BH,Bahrain,,,,,Sar,,Asia/Bahrain
290120,en,AS,Asia,BH,Bahrain,13,Manama,,,Sanad,,Asia/Bahrain
290121,en,AS,Asia,BH,Bahrain,13,Manama,,,Sanabis,,Asia/Bahrain
290127,en,AS,Asia,BH,Bahrain,,,,,Salmabad,,Asia/Bahrain
290160,en,AS,Asia,BH,Bahrain,15,Muharraq,,,Qalali,,Asia/Bahrain
290163,en,AS,Asia,BH,Bahrain,,,,,"Nur Juruft",,Asia/Bahrain
290187,en,AS,Asia,BH,Bahrain,14,"Southern Governorate",,,"Madinat `Isa",,Asia/Bahrain
290204,en,AS,Asia,BH,Bahrain,13,Manama,,,Karbabad,,Asia/Bahrain
