network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,postal_code,latitude,longitude,accuracy_radius
2001:240:2420::/43,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2440::/42,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2480::/41,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2500::/40,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2600::/39,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2800::/43,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2820::/49,1849053,1861060,,0,0,320-0027,36.5658,139.8836,100
2001:240:2820:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2821::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2822::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2824::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2826::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2826:8000::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:2827::/49,6940394,1861060,,0,0,330-0063,35.8569,139.6489,100
2001:240:2827:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2828::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2830::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2840::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2848::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:284c::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:284e::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:284f::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:284f:8000::/49,1848354,1861060,,0,0,231-0021,35.4478,139.6425,100
2001:240:2850::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2860::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2868::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:286c::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:286d::/49,1849814,1861060,,0,0,471-0034,35.0833,137.1500,100
2001:240:286d:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:286e::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2870::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2880::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2881::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2881:8000::/49,1857910,1861060,,0,0,602-8016,35.0214,135.7556,100
2001:240:2882::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2884::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2888::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2888:8000::/49,6697563,1861060,,0,0,575-0001,34.7500,135.6333,100
2001:240:2889::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:288a::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:288c::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2890::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2898::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2899::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2899:8000::/49,1859170,1861060,,0,0,629-2502,35.6000,135.1000,100
2001:240:289a::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:289c::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:28a0::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:28a8::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:28ac::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:28ac:8000::/49,1848354,1861060,,0,0,231-0021,35.4478,139.6425,100
2001:240:28ad::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:28ae::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:28b0::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:28c0::/42,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2900::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2901::/49,2128295,1861060,,0,0,,43.0642,141.3469,100
2001:240:2901:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2902::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2904::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2908::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2910::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2920::/43,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2940::/42,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2980::/45,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2988::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:2988:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2989::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:298a::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:298c::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:298e::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:298e:8000::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:298f::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2990::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2992::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:2992:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2993::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2994::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2995::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2995:8000::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:2996::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2998::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:2999::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:2999:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:299a::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:299b::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:299b:8000::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:299c::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29a0::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29a2::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:29a2:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29a3::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:29a3:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29a4::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29a6::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29a7::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:29a7:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29a8::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29ac::/49,1850147,1861060,,0,0,100-0001,35.6427,139.7677,100
2001:240:29ac:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29ad::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29ae::/47,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29b0::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29c0::/44,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29d0::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29d4::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29d5::/49,1859642,1861060,,0,0,210-0835,35.5206,139.7172,100
2001:240:29d5:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29d6::/49,1848354,1861060,,0,0,231-0021,35.4478,139.6425,100
2001:240:29d6:8000::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29d7::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29d8::/46,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29dc::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29dd::/49,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29dd:8000::/49,1848354,1861060,,0,0,231-0021,35.4478,139.6425,100
2001:240:29de::/48,1861060,1861060,,0,0,,36.0000,138.0000,100
2001:240:29df::/49,1864092,1861060,,0,0,251-0052,35.3419,139.4700,100
